entry_stable_id	observation_stable_id	observation_type
AF_010000	OB_008232	homology_analysis
AF_010001	OB_008232	homology_analysis
AF_010002	OB_008232	homology_analysis
AF_010003	OB_008233	homology_analysis
AF_010004	OB_008233	homology_analysis
AF_010005	OB_008233	homology_analysis
AF_010006	OB_008233	homology_analysis
AF_010007	OB_008233	homology_analysis
AF_010008	OB_008234	homology_analysis
AF_010009	OB_008234	homology_analysis
AF_001000	OB_000417	phenotype_2
AF_010010	OB_008235	homology_analysis
AF_010011	OB_008235	homology_analysis
AF_010012	OB_008235	homology_analysis
AF_010013	OB_008235	homology_analysis
AF_010014	OB_008235	homology_analysis
AF_010015	OB_008235	homology_analysis
AF_010016	OB_008235	homology_analysis
AF_001001	OB_000196	phenotype_2
AF_001001	OB_000197	phenotype_2
AF_001001	OB_007479	phenotype_2
AF_001001	OB_007480	phenotype_2
AF_001001	OB_008555	homology_analysis
AF_010023	OB_008237	homology_analysis
AF_010024	OB_008237	homology_analysis
AF_010025	OB_008237	homology_analysis
AF_010026	OB_008238	homology_analysis
AF_010027	OB_008238	homology_analysis
AF_010028	OB_008238	homology_analysis
AF_010029	OB_008238	homology_analysis
AF_010030	OB_008238	homology_analysis
AF_010031	OB_008238	homology_analysis
AF_010032	OB_008238	homology_analysis
AF_010033	OB_008238	homology_analysis
AF_010034	OB_008238	homology_analysis
AF_010035	OB_008238	homology_analysis
AF_010036	OB_008238	homology_analysis
AF_010037	OB_008238	homology_analysis
AF_010038	OB_008238	homology_analysis
AF_010039	OB_008239	homology_analysis
AF_001003	OB_000428	phenotype_2
AF_010040	OB_008239	homology_analysis
AF_010041	OB_008240	homology_analysis
AF_010042	OB_008240	homology_analysis
AF_010043	OB_008240	homology_analysis
AF_010044	OB_008240	homology_analysis
AF_010045	OB_008240	homology_analysis
AF_010046	OB_008240	homology_analysis
AF_010047	OB_008240	homology_analysis
AF_010048	OB_008240	homology_analysis
AF_010049	OB_008241	homology_analysis
AF_010050	OB_008242	homology_analysis
AF_010051	OB_008242	homology_analysis
AF_010052	OB_008242	homology_analysis
AF_010053	OB_008242	homology_analysis
AF_010054	OB_008242	homology_analysis
AF_010055	OB_008243	homology_analysis
AF_010056	OB_008243	homology_analysis
AF_010057	OB_008243	homology_analysis
AF_010058	OB_008243	homology_analysis
AF_010059	OB_008243	homology_analysis
AF_001005	OB_006890	phenotype_2
AF_001005	OB_009486	homology_analysis
AF_010060	OB_008243	homology_analysis
AF_010061	OB_008243	homology_analysis
AF_010062	OB_008243	homology_analysis
AF_010063	OB_008243	homology_analysis
AF_010064	OB_008243	homology_analysis
AF_010065	OB_008243	homology_analysis
AF_010066	OB_008243	homology_analysis
AF_010067	OB_008243	homology_analysis
AF_010068	OB_008243	homology_analysis
AF_010069	OB_008243	homology_analysis
AF_001006	OB_006903	phenotype_2
AF_001006	OB_009503	homology_analysis
AF_010070	OB_008243	homology_analysis
AF_010071	OB_008243	homology_analysis
AF_010072	OB_008243	homology_analysis
AF_010073	OB_008243	homology_analysis
AF_010074	OB_008244	homology_analysis
AF_010075	OB_008244	homology_analysis
AF_010076	OB_008244	homology_analysis
AF_010077	OB_008245	homology_analysis
AF_010078	OB_008245	homology_analysis
AF_010079	OB_008245	homology_analysis
AF_001007	OB_007091	phenotype_2
AF_001007	OB_009500	homology_analysis
AF_010080	OB_008245	homology_analysis
AF_010081	OB_008245	homology_analysis
AF_010082	OB_008245	homology_analysis
AF_010083	OB_008245	homology_analysis
AF_010084	OB_008245	homology_analysis
AF_010085	OB_008245	homology_analysis
AF_010086	OB_008245	homology_analysis
AF_010087	OB_008245	homology_analysis
AF_010088	OB_008245	homology_analysis
AF_010089	OB_008246	homology_analysis
AF_001008	OB_006404	phenotype_2
AF_001008	OB_008431	homology_analysis
AF_010090	OB_008246	homology_analysis
AF_010091	OB_008246	homology_analysis
AF_010092	OB_008246	homology_analysis
AF_010093	OB_008246	homology_analysis
AF_010094	OB_008246	homology_analysis
AF_010095	OB_008246	homology_analysis
AF_010096	OB_008246	homology_analysis
AF_010097	OB_008246	homology_analysis
AF_010098	OB_008246	homology_analysis
AF_010099	OB_008246	homology_analysis
AF_001009	OB_007416	phenotype_2
AF_001009	OB_007417	phenotype_2
AF_001009	OB_008966	homology_analysis
AF_010100	OB_008246	homology_analysis
AF_010101	OB_008246	homology_analysis
AF_010102	OB_008246	homology_analysis
AF_010103	OB_008246	homology_analysis
AF_010104	OB_008246	homology_analysis
AF_010105	OB_008246	homology_analysis
AF_010106	OB_008246	homology_analysis
AF_010107	OB_008246	homology_analysis
AF_010108	OB_008247	homology_analysis
AF_010109	OB_008247	homology_analysis
AF_001010	OB_000382	phenotype_2
AF_001010	OB_000484	phenotype_2
AF_001010	OB_008514	homology_analysis
AF_010110	OB_008247	homology_analysis
AF_010111	OB_008247	homology_analysis
AF_010112	OB_008247	homology_analysis
AF_010113	OB_008247	homology_analysis
AF_010114	OB_008247	homology_analysis
AF_010115	OB_008247	homology_analysis
AF_010116	OB_008247	homology_analysis
AF_010117	OB_008248	homology_analysis
AF_010118	OB_008248	homology_analysis
AF_010119	OB_008248	homology_analysis
AF_001011	OB_009113	homology_analysis
AF_010120	OB_008248	homology_analysis
AF_010121	OB_008248	homology_analysis
AF_010122	OB_008248	homology_analysis
AF_010123	OB_008248	homology_analysis
AF_010124	OB_008248	homology_analysis
AF_010125	OB_008248	homology_analysis
AF_010126	OB_008248	homology_analysis
AF_010127	OB_008248	homology_analysis
AF_010128	OB_008248	homology_analysis
AF_010129	OB_008248	homology_analysis
AF_001012	OB_003030	phenotype_2
AF_001012	OB_003031	phenotype_2
AF_001012	OB_003081	phenotype_2
AF_001012	OB_003082	phenotype_2
AF_001012	OB_003113	phenotype_2
AF_001012	OB_003114	phenotype_2
AF_001012	OB_003115	phenotype_2
AF_001012	OB_003118	phenotype_2
AF_001012	OB_003119	phenotype_2
AF_001012	OB_003120	phenotype_2
AF_001012	OB_003123	phenotype_2
AF_001012	OB_003124	phenotype_2
AF_001012	OB_003125	phenotype_2
AF_001012	OB_004165	phenotype_2
AF_001012	OB_005482	phenotype_2
AF_001012	OB_008513	homology_analysis
AF_010130	OB_008248	homology_analysis
