entry_stable_id	observation_id	homology_analysis_status
AF_000018	8161	added
AF_006553	8161	added
AF_006584	8161	added
AF_006605	8161	added
AF_006622	8161	not added
AF_006626	8161	added
AF_006657	8161	added
AF_006668	8161	added
AF_007814	8161	added
AF_008702	8161	not added
AF_008730	8161	not added
AF_009478	8161	added
AF_009479	8161	added
AF_009480	8161	added
AF_009481	8161	added
AF_009482	8161	added
AF_009483	8161	added
AF_009484	8161	added
AF_009485	8161	added
AF_009486	8161	added
AF_009487	8161	added
AF_009488	8161	added
AF_009489	8161	added
AF_009490	8161	added
AF_009491	8161	added
AF_007422	8162	not added
AF_009492	8162	added
AF_009493	8162	added
AF_009494	8162	added
AF_009495	8162	added
AF_009496	8162	added
AF_009497	8162	added
AF_009498	8162	added
AF_009499	8162	added
AF_009500	8162	added
AF_009501	8162	added
AF_001241	8166	not added
AF_003446	8166	added
AF_007654	8166	added
AF_008048	8166	added
AF_008489	8166	added
AF_008490	8166	not added
AF_008491	8166	added
AF_008492	8166	added
AF_009518	8166	added
AF_009519	8166	added
AF_009520	8166	added
AF_009521	8166	added
AF_009522	8166	added
AF_009523	8166	added
AF_009524	8166	added
AF_009525	8166	added
AF_003101	8167	not added
AF_006449	8167	not added
AF_009526	8167	added
AF_009527	8167	added
AF_009528	8167	added
AF_009529	8167	added
AF_009530	8167	added
AF_009531	8167	added
AF_009532	8167	added
AF_009533	8167	added
AF_009534	8167	added
AF_009535	8167	added
AF_009536	8167	added
AF_009537	8167	added
AF_008033	8168	not added
AF_009538	8168	added
AF_009539	8168	added
AF_001592	8169	not added
AF_009540	8169	added
AF_009541	8169	added
AF_001907	8170	added
AF_000224	8170	added
AF_000225	8170	added
AF_003466	8170	added
AF_006334	8170	not added
AF_007645	8170	added
AF_007906	8170	added
AF_008038	8170	added
AF_009542	8170	added
AF_009543	8170	added
AF_009544	8170	added
AF_009545	8170	added
AF_009546	8170	added
AF_009547	8170	added
AF_009548	8170	added
AF_009549	8170	added
AF_009550	8170	added
AF_009551	8170	added
AF_009552	8170	added
AF_006462	8171	not added
AF_006590	8171	added
AF_002901	8172	added
AF_003585	8172	added
AF_003586	8172	added
AF_003755	8172	added
AF_005230	8172	not added
AF_007714	8172	added
AF_008541	8172	added
AF_008542	8172	not added
AF_008543	8172	not added
AF_008553	8172	added
AF_009553	8172	added
AF_009554	8172	added
AF_009555	8172	added
AF_009556	8172	added
AF_009557	8172	added
AF_009558	8172	added
AF_009559	8172	added
AF_009560	8172	added
AF_009561	8172	added
AF_009562	8172	added
AF_009563	8172	added
AF_001151	8173	added
AF_001152	8173	added
AF_003334	8173	added
AF_004055	8173	added
AF_004056	8173	not added
AF_007120	8173	not added
AF_007772	8173	added
AF_008538	8173	added
AF_008539	8173	added
AF_009564	8173	added
AF_009565	8173	added
AF_009566	8173	added
AF_009567	8173	added
AF_009568	8173	added
AF_009569	8173	added
AF_009570	8173	added
AF_009571	8173	added
AF_009572	8173	added
AF_009573	8173	added
AF_009574	8173	added
AF_000838	8175	not added
AF_009579	8175	added
AF_009580	8175	added
AF_009581	8175	added
AF_009582	8175	added
AF_009583	8175	added
AF_009337	8176	not added
AF_009584	8176	added
AF_009585	8176	added
AF_009586	8176	added
AF_009587	8176	added
AF_001341	8177	not added
AF_009588	8177	added
AF_009589	8177	added
AF_009590	8177	added
AF_009591	8177	added
AF_009592	8177	added
AF_009593	8177	added
AF_007022	8178	not added
AF_009594	8178	added
AF_009595	8178	added
AF_009596	8178	added
AF_009597	8178	added
AF_009598	8178	added
AF_009599	8178	added
AF_009600	8178	added
AF_009601	8178	added
AF_009602	8178	added
AF_009603	8178	added
AF_009604	8178	added
AF_001574	8179	not added
AF_009605	8179	added
AF_009606	8179	added
AF_001677	8180	not added
AF_009607	8180	added
AF_009608	8180	added
AF_009609	8180	added
AF_009610	8180	added
AF_009611	8180	added
AF_009612	8180	added
AF_009613	8180	added
AF_009614	8180	added
AF_009615	8180	added
AF_009616	8180	added
AF_009617	8180	added
AF_009618	8180	added
AF_009619	8180	added
AF_009620	8180	added
AF_009621	8180	added
AF_009622	8180	added
AF_009623	8180	added
AF_009624	8180	added
AF_009625	8180	added
AF_009626	8180	added
AF_009380	8181	not added
AF_009627	8181	added
AF_009628	8181	added
