observation_id	entry_id	entry_type	entry_name	species	observation_stable_id	entry_stable_id	lifespan_effect_significant	lifespan_change	lifespan_change_significant	lifespan_measure	allele_types	allele_types_base
1	6477	gene	rrf-3	Caenorhabditis elegans	OB_000001	AF_006477	none	0	false	mean	loss of function	unknown
1	8654	gene	hif-1	Caenorhabditis elegans	OB_000001	AF_008654	none	0	false	mean	RNAi knockdown	unknown
2	6477	gene	rrf-3	Caenorhabditis elegans	OB_000002	AF_006477	none	-4.2328	false	mean	loss of function	unknown
2	8654	gene	hif-1	Caenorhabditis elegans	OB_000002	AF_008654	none	-4.2328	false	mean	RNAi knockdown	unknown
3	6477	gene	rrf-3	Caenorhabditis elegans	OB_000003	AF_006477	decreased	-8.37209	true	mean	loss of function	unknown
3	8654	gene	hif-1	Caenorhabditis elegans	OB_000003	AF_008654	decreased	-8.37209	true	mean	RNAi knockdown	unknown
4	6477	gene	rrf-3	Caenorhabditis elegans	OB_000004	AF_006477	none	-4.24528	false	mean	loss of function	unknown
4	8654	gene	hif-1	Caenorhabditis elegans	OB_000004	AF_008654	none	-4.24528	false	mean	RNAi knockdown	unknown
5	6468	gene	vhl-1	Caenorhabditis elegans	OB_000005	AF_006468	increased	36.5217	true	mean	deletion / null	unknown
6	6468	gene	vhl-1	Caenorhabditis elegans	OB_000006	AF_006468	increased	42.9245	true	mean	deletion / null	unknown
7	6468	gene	vhl-1	Caenorhabditis elegans	OB_000007	AF_006468	increased	30.8943	true	mean	deletion / null	unknown
8	6468	gene	vhl-1	Caenorhabditis elegans	OB_000008	AF_006468	increased	29.8755	true	mean	deletion / null	unknown
9	6468	gene	vhl-1	Caenorhabditis elegans	OB_000009	AF_006468	increased	51.6129	true	mean	deletion / null	unknown
10	6468	gene	vhl-1	Caenorhabditis elegans	OB_000010	AF_006468	increased	46.1929	true	mean	deletion / null	unknown
11	6312	gene	fog-3	Caenorhabditis elegans	OB_000011	AF_006312	none	0	false		non-null recessive	unknown
12	6468	gene	vhl-1	Caenorhabditis elegans	OB_000012	AF_006468	increased	61.7347	true	mean	deletion / null	unknown
13	6468	gene	vhl-1	Caenorhabditis elegans	OB_000013	AF_006468	increased	12.4514	true	mean	deletion / null	unknown
14	6468	gene	vhl-1	Caenorhabditis elegans	OB_000014	AF_006468	increased	28.4483	true	mean	deletion / null	unknown
15	6468	gene	vhl-1	Caenorhabditis elegans	OB_000015	AF_006468	increased	72.1992	true	mean	deletion / null	unknown
15	9150	other_factor	Dietary restriction	Caenorhabditis elegans	OB_000015	AF_009150	increased	72.1992	true	mean	NULL	NULL
16	6468	gene	vhl-1	Caenorhabditis elegans	OB_000016	AF_006468	increased	68.5345	true	mean	deletion / null	unknown
16	9150	other_factor	Dietary restriction	Caenorhabditis elegans	OB_000016	AF_009150	increased	68.5345	true	mean	NULL	NULL
17	5812	gene	daf-16	Caenorhabditis elegans	OB_000017	AF_005812	increased	31.1224	true	mean	RNAi knockdown	unknown
17	6468	gene	vhl-1	Caenorhabditis elegans	OB_000017	AF_006468	increased	31.1224	true	mean	deletion / null	unknown
18	5812	gene	daf-16	Caenorhabditis elegans	OB_000018	AF_005812	decreased	-8.94942	true	mean	RNAi knockdown	unknown
18	6468	gene	vhl-1	Caenorhabditis elegans	OB_000018	AF_006468	decreased	-8.94942	true	mean	deletion / null	unknown
19	5765	gene	daf-2	Caenorhabditis elegans	OB_000019	AF_005765	increased	76.4977	true	mean	RNAi knockdown	unknown
19	6468	gene	vhl-1	Caenorhabditis elegans	OB_000019	AF_006468	increased	76.4977	true	mean	deletion / null	unknown
20	5765	gene	daf-2	Caenorhabditis elegans	OB_000020	AF_005765	increased	150.254	true	mean	RNAi knockdown	unknown
20	6468	gene	vhl-1	Caenorhabditis elegans	OB_000020	AF_006468	increased	150.254	true	mean	deletion / null	unknown
21	5765	gene	daf-2	Caenorhabditis elegans	OB_000021	AF_005765	increased	165.816	true	mean	RNAi knockdown	unknown
21	6468	gene	vhl-1	Caenorhabditis elegans	OB_000021	AF_006468	increased	165.816	true	mean	deletion / null	unknown
22	5926	gene	che-3	Caenorhabditis elegans	OB_000022	AF_005926	increased	36.7021	true	mean	unknown	unknown
23	6468	gene	vhl-1	Caenorhabditis elegans	OB_000023	AF_006468	decreased	-10.0457	true	mean	deletion / null	unknown
23	8654	gene	hif-1	Caenorhabditis elegans	OB_000023	AF_008654	decreased	-10.0457	true	mean	deletion / null	unknown
24	6468	gene	vhl-1	Caenorhabditis elegans	OB_000024	AF_006468	none	-2.76498	false	mean	deletion / null	unknown
24	8654	gene	hif-1	Caenorhabditis elegans	OB_000024	AF_008654	none	-2.76498	false	mean	deletion / null	unknown
25	6468	gene	vhl-1	Caenorhabditis elegans	OB_000025	AF_006468	none	1.22449	false	mean	deletion / null	unknown
25	8654	gene	hif-1	Caenorhabditis elegans	OB_000025	AF_008654	none	1.22449	false	mean	deletion / null	unknown
26	6468	gene	vhl-1	Caenorhabditis elegans	OB_000026	AF_006468	none	-1.65975	false	mean	deletion / null	unknown
26	8654	gene	hif-1	Caenorhabditis elegans	OB_000026	AF_008654	none	-1.65975	false	mean	deletion / null	unknown
27	6468	gene	vhl-1	Caenorhabditis elegans	OB_000027	AF_006468	increased	51.5982	true	mean	deletion / null	unknown
27	8654	gene	hif-1	Caenorhabditis elegans	OB_000027	AF_008654	increased	51.5982	true	mean	deletion / null	unknown
27	9150	other_factor	Dietary restriction	Caenorhabditis elegans	OB_000027	AF_009150	increased	51.5982	true	mean	NULL	NULL
28	6468	gene	vhl-1	Caenorhabditis elegans	OB_000028	AF_006468	increased	49.3776	true	mean	deletion / null	unknown
28	8654	gene	hif-1	Caenorhabditis elegans	OB_000028	AF_008654	increased	49.3776	true	mean	deletion / null	unknown
28	9150	other_factor	Dietary restriction	Caenorhabditis elegans	OB_000028	AF_009150	increased	49.3776	true	mean	NULL	NULL
29	6468	gene	vhl-1	Caenorhabditis elegans	OB_000029	AF_006468	increased	29.9539	true	mean	deletion / null	unknown
29	8654	gene	hif-1	Caenorhabditis elegans	OB_000029	AF_008654	increased	29.9539	true	mean	deletion / null	unknown
29	9150	other_factor	Dietary restriction	Caenorhabditis elegans	OB_000029	AF_009150	increased	29.9539	true	mean	NULL	NULL
30	6468	gene	vhl-1	Caenorhabditis elegans	OB_000030	AF_006468	increased	11.9171	true	mean	RNAi knockdown	unknown
31	6468	gene	vhl-1	Caenorhabditis elegans	OB_000031	AF_006468	increased	25.8706	true	mean	RNAi knockdown	unknown
31	6477	gene	rrf-3	Caenorhabditis elegans	OB_000031	AF_006477	increased	25.8706	true	mean	loss of function	unknown
32	6468	gene	vhl-1	Caenorhabditis elegans	OB_000032	AF_006468	increased	22.6415	true	mean	RNAi knockdown	unknown
32	6477	gene	rrf-3	Caenorhabditis elegans	OB_000032	AF_006477	increased	22.6415	true	mean	loss of function	unknown
33	5745	gene	daz-1	Caenorhabditis elegans	OB_000033	AF_005745	increased	8.80829	true	mean	non-null recessive	unknown
34	6468	gene	vhl-1	Caenorhabditis elegans	OB_000034	AF_006468	increased	18.4426	true	mean	RNAi knockdown	unknown
34	6477	gene	rrf-3	Caenorhabditis elegans	OB_000034	AF_006477	increased	18.4426	true	mean	loss of function	unknown
35	6468	gene	vhl-1	Caenorhabditis elegans	OB_000035	AF_006468	increased	51.8519	true	mean	RNAi knockdown	unknown
35	6477	gene	rrf-3	Caenorhabditis elegans	OB_000035	AF_006477	increased	51.8519	true	mean	loss of function	unknown
36	6468	gene	vhl-1	Caenorhabditis elegans	OB_000036	AF_006468	increased	24.0642	true	mean	RNAi knockdown	unknown
36	6477	gene	rrf-3	Caenorhabditis elegans	OB_000036	AF_006477	increased	24.0642	true	mean	loss of function	unknown
37	6468	gene	vhl-1	Caenorhabditis elegans	OB_000037	AF_006468	increased	57.1429	true	mean	RNAi knockdown	unknown
37	6477	gene	rrf-3	Caenorhabditis elegans	OB_000037	AF_006477	increased	57.1429	true	mean	loss of function	unknown
38	6468	gene	vhl-1	Caenorhabditis elegans	OB_000038	AF_006468	increased	11.6279	true	mean	RNAi knockdown	unknown
38	6477	gene	rrf-3	Caenorhabditis elegans	OB_000038	AF_006477	increased	11.6279	true	mean	loss of function	unknown
39	6468	gene	vhl-1	Caenorhabditis elegans	OB_000039	AF_006468	none	-0.925926	false	mean	RNAi knockdown	unknown
39	6477	gene	rrf-3	Caenorhabditis elegans	OB_000039	AF_006477	none	-0.925926	false	mean	loss of function	unknown
39	8654	gene	hif-1	Caenorhabditis elegans	OB_000039	AF_008654	none	-0.925926	false	mean	RNAi knockdown	unknown
40	6468	gene	vhl-1	Caenorhabditis elegans	OB_000040	AF_006468	none	3.68852	false	mean	RNAi knockdown	unknown
40	6477	gene	rrf-3	Caenorhabditis elegans	OB_000040	AF_006477	none	3.68852	false	mean	loss of function	unknown
40	8654	gene	hif-1	Caenorhabditis elegans	OB_000040	AF_008654	none	3.68852	false	mean	RNAi knockdown	unknown
41	6468	gene	vhl-1	Caenorhabditis elegans	OB_000041	AF_006468	increased	7.109	true	mean	RNAi knockdown	unknown
41	6477	gene	rrf-3	Caenorhabditis elegans	OB_000041	AF_006477	increased	7.109	true	mean	loss of function	unknown
41	8654	gene	hif-1	Caenorhabditis elegans	OB_000041	AF_008654	increased	7.109	true	mean	RNAi knockdown	unknown
42	822	gene	Ins2	Mus musculus	OB_000042	AF_000822	decreased	0	true	median	unknown	unknown
42	1488	gene	Pparg	Mus musculus	OB_000042	AF_001488	decreased	0	true	median	non-null dominant	unknown
43	4678	gene	CBX7	Homo sapiens	OB_000043	AF_004678	decreased	0	true	median	RNAi knockdown	unknown
44	3270	gene	SWI4	Saccharomyces cerevisiae	OB_000044	AF_003270	decreased	0	true		deletion / null	unknown
45	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000045	AF_008310	none	-2.57511	false	mean	over-expression	unknown
46	4078	gene	BRE5	Saccharomyces cerevisiae	OB_000046	AF_004078	increased	29	true	mean	deletion / null	unknown
47	4078	gene	BRE5	Saccharomyces cerevisiae	OB_000047	AF_004078	increased	30	true	mean	deletion / null	unknown
48	4717	gene	CCR4	Saccharomyces cerevisiae	OB_000048	AF_004717	decreased	0	true		deletion / null	unknown
49	303	gene	FOB1	Saccharomyces cerevisiae	OB_000049	AF_000303	increased	21	true	mean	deletion / null	unknown
50	303	gene	FOB1	Saccharomyces cerevisiae	OB_000050	AF_000303	increased	42	true	mean	deletion / null	unknown
51	742	gene	IDH2	Saccharomyces cerevisiae	OB_000051	AF_000742	increased	31	true	mean	deletion / null	unknown
52	742	gene	IDH2	Saccharomyces cerevisiae	OB_000052	AF_000742	increased	18	true	mean	deletion / null	unknown
53	8655	gene	REI1	Saccharomyces cerevisiae	OB_000053	AF_008655	increased	38	true	mean	deletion / null	unknown
54	8655	gene	REI1	Saccharomyces cerevisiae	OB_000054	AF_008655	increased	52	true	mean	deletion / null	unknown
55	8655	gene	REI1	Saccharomyces cerevisiae	OB_000055	AF_008655	increased	47	true	mean	deletion / null	unknown
56	997	gene	ROM2	Saccharomyces cerevisiae	OB_000056	AF_000997	increased	49	true	mean	deletion / null	unknown
57	997	gene	ROM2	Saccharomyces cerevisiae	OB_000057	AF_000997	increased	16	true	mean	deletion / null	unknown
58	8308	gene	RPL31A	Saccharomyces cerevisiae	OB_000058	AF_008308	increased	35	true	mean	deletion / null	unknown
59	5111	gene	pgl-1	Caenorhabditis elegans	OB_000059	AF_005111	increased	0	true		non-null recessive	unknown
60	8308	gene	RPL31A	Saccharomyces cerevisiae	OB_000060	AF_008308	increased	59	true	mean	deletion / null	unknown
61	968	gene	RPL6B	Saccharomyces cerevisiae	OB_000061	AF_000968	increased	33	true	mean	deletion / null	unknown
62	968	gene	RPL6B	Saccharomyces cerevisiae	OB_000062	AF_000968	increased	23	true	mean	deletion / null	unknown
63	968	gene	RPL6B	Saccharomyces cerevisiae	OB_000063	AF_000968	increased	23	true	mean	deletion / null	unknown
64	8594	gene	TOR1	Saccharomyces cerevisiae	OB_000064	AF_008594	increased	23	true	mean	deletion / null	unknown
65	8594	gene	TOR1	Saccharomyces cerevisiae	OB_000065	AF_008594	increased	21	true	mean	deletion / null	unknown
66	8594	gene	TOR1	Saccharomyces cerevisiae	OB_000066	AF_008594	increased	22	true	mean	deletion / null	unknown
67	1326	gene	URE2	Saccharomyces cerevisiae	OB_000067	AF_001326	increased	21	true	mean	deletion / null	unknown
68	1326	gene	URE2	Saccharomyces cerevisiae	OB_000068	AF_001326	increased	15	true	mean	deletion / null	unknown
69	8656	gene	YBR238C	Saccharomyces cerevisiae	OB_000069	AF_008656	increased	25	true	mean	deletion / null	unknown
70	7697	gene	chico	Drosophila melanogaster	OB_000070	AF_007697	increased	0	true		non-null recessive	unknown
71	8656	gene	YBR238C	Saccharomyces cerevisiae	OB_000071	AF_008656	increased	21	true	mean	deletion / null	unknown
72	8656	gene	YBR238C	Saccharomyces cerevisiae	OB_000072	AF_008656	increased	34	true	mean	deletion / null	unknown
73	8657	gene	YBR255W	Saccharomyces cerevisiae	OB_000073	AF_008657	increased	25	true	mean	deletion / null	unknown
74	8657	gene	YBR255W	Saccharomyces cerevisiae	OB_000074	AF_008657	increased	34	true	mean	deletion / null	unknown
75	8657	gene	YBR255W	Saccharomyces cerevisiae	OB_000075	AF_008657	increased	19	true	mean	deletion / null	unknown
76	8658	gene	YBR266C	Saccharomyces cerevisiae	OB_000076	AF_008658	increased	37	true	mean	deletion / null	unknown
77	8658	gene	YBR266C	Saccharomyces cerevisiae	OB_000077	AF_008658	increased	47	true	mean	deletion / null	unknown
78	8659	gene	YOR135W	Saccharomyces cerevisiae	OB_000078	AF_008659	increased	18	true	mean	deletion / null	unknown
79	8659	gene	YOR135W	Saccharomyces cerevisiae	OB_000079	AF_008659	increased	22	true	mean	deletion / null	unknown
80	8594	gene	TOR1	Saccharomyces cerevisiae	OB_000080	AF_008594	increased	25.2964	true	mean	deletion / null	unknown
81	7697	gene	chico	Drosophila melanogaster	OB_000081	AF_007697	increased	0	true		non-null recessive	unknown
82	8308	gene	RPL31A	Saccharomyces cerevisiae	OB_000082	AF_008308	increased	59.2885	true	mean	deletion / null	unknown
83	968	gene	RPL6B	Saccharomyces cerevisiae	OB_000083	AF_000968	increased	32.4111	true	mean	deletion / null	unknown
84	8594	gene	TOR1	Saccharomyces cerevisiae	OB_000084	AF_008594	increased	21.2766	true	mean	deletion / null	unknown
85	8594	gene	TOR1	Saccharomyces cerevisiae	OB_000085	AF_008594	increased	20.4255	true	mean	deletion / null	unknown
