observation_stable_id	pubmed_id
OB_001000	20824162
OB_001001	20824162
OB_001002	15998808
OB_001003	20824162
OB_001004	20824162
OB_001005	20824162
OB_001006	20824162
OB_001007	20824162
OB_001008	20824162
OB_001009	15998808
OB_000100	16311627
OB_001010	20824162
OB_001011	20824162
OB_001012	20824162
OB_001013	20824162
OB_001014	20824162
OB_001015	11242085
OB_001016	11242085
OB_001017	11242085
OB_001018	15998808
OB_001019	11242085
OB_000101	10224252
OB_001020	11242085
OB_001021	11242085
OB_001022	11242085
OB_001023	11242085
OB_001024	11242085
OB_001025	11242085
OB_001026	11242085
OB_001027	18772467
OB_001028	18772467
OB_001029	15998808
OB_000102	16311627
OB_001030	18772467
OB_001031	18772467
OB_001032	18772467
OB_001033	18772467
OB_001034	18772467
OB_001035	18772467
OB_001036	18772467
OB_001037	18772467
OB_001038	18772467
OB_001039	9620775
OB_000103	16311627
OB_001040	15998808
OB_001041	9620775
OB_001042	9620775
OB_001043	9620775
OB_001044	20732954
OB_001045	12072463
OB_001046	12072463
OB_001047	12072463
OB_001048	12072463
OB_001049	12072463
OB_000104	16311627
OB_001050	12072463
OB_001051	15998808
OB_001052	12072463
OB_001053	12072463
OB_001054	12072463
OB_001055	12072463
OB_001056	12072463
OB_001057	12072463
OB_001058	12072463
OB_001059	12072463
OB_000105	16311627
OB_001060	12072463
OB_001061	12072463
OB_001062	15998808
OB_001063	12072463
OB_001064	12072463
OB_001065	12072463
OB_001066	12072463
OB_001067	12072463
OB_001068	10638523
OB_001069	10638523
OB_000106	16311627
OB_001070	10638523
OB_001071	10638523
OB_001072	10638523
OB_001073	15998808
OB_001074	10638523
OB_001075	10638523
OB_001076	7859289
OB_001077	7859289
OB_001078	7859289
OB_001079	7859289
OB_000107	16311627
OB_001080	7859289
OB_001081	7859289
OB_001082	7859289
OB_001083	7859289
OB_001084	15998808
OB_001085	8034612
OB_001086	7859289
OB_001087	20732954
OB_001088	10617200
OB_001089	10617200
OB_000108	16311627
OB_001090	15998808
OB_001091	10617200
OB_001092	10617200
OB_001093	10617200
OB_001094	10617200
OB_001095	10617200
OB_001096	10617200
OB_001097	10617200
OB_001098	10617200
OB_001099	10617200
OB_000109	11950998
OB_000010	19372390
OB_001100	10617200
OB_001101	15998808
OB_001102	10617200
OB_001103	10617200
OB_001104	10617200
OB_001105	10617200
OB_001106	10617200
OB_001107	10617200
OB_001108	10617200
OB_001109	15998808
OB_000110	16311627
OB_001110	10617200
OB_001111	10617200
OB_001112	10617200
OB_001113	10617200
OB_001114	10617200
OB_001115	10617200
OB_001116	10617200
OB_001117	10617200
OB_001118	10617200
OB_001119	10617200
OB_000111	16311627
OB_001120	15998808
OB_001121	9768365
OB_001122	9768365
OB_001123	11410594
OB_001124	11410594
OB_001125	17187771
OB_001126	17187771
OB_001127	17187771
OB_001128	17187771
OB_001129	17187771
OB_000112	16311627
OB_001130	17187771
OB_001131	15998808
OB_001132	17187771
OB_001133	17187771
OB_001134	20732954
OB_001135	20732954
OB_001136	20732954
OB_001137	20732954
OB_001138	20732954
OB_001139	20732954
OB_000113	16741098
OB_001140	20732954
OB_001141	20732954
OB_001142	15998808
OB_001143	20732954
OB_001144	20732954
OB_001145	20829365
OB_001146	20829365
OB_001147	15998808
OB_001148	20828537
OB_001149	15998808
OB_000114	16741098
OB_001150	20828537
OB_001151	20828537
OB_001152	20828537
OB_001153	20828537
OB_001154	20828537
OB_001155	20828537
OB_001156	20828537
OB_001157	20828537
OB_001158	20828537
OB_001159	20828537
OB_000115	16741098
OB_001160	15998808
OB_001161	20828537
OB_001162	20828537
OB_001163	20828537
OB_001164	20828537
OB_001165	20828537
OB_001166	20720157
OB_001167	20720157
OB_001168	17187771
OB_001169	17187771
OB_000116	16741098
OB_001170	17187771
OB_001171	15998808
OB_001172	8034612
OB_001173	17187771
OB_001174	17187771
OB_001175	17187771
OB_001176	17187771
OB_001177	17187771
OB_001178	17187771
OB_001179	17187771
OB_000117	16741098
OB_001180	17187771
OB_001181	17187771
OB_001182	17187771
OB_001183	15998808
OB_001184	17187771
OB_001185	17187771
OB_001186	17187771
OB_001187	17187771
OB_001188	17187771
OB_001189	17187771
OB_000118	16741098
OB_001190	17187771
OB_001191	17187771
OB_001192	17187771
OB_001193	17187771
OB_001194	15998808
OB_001195	17187771
OB_001196	17187771
OB_001197	17187771
OB_001198	17187771
OB_001199	17187771
OB_000119	16741098
OB_000011	11799246
OB_001200	17187771
OB_001201	17187771
OB_001202	17187771
OB_001203	17187771
OB_001204	17187771
OB_001205	15998808
OB_001206	17187771
OB_001207	17187771
OB_001208	17187771
OB_001209	17187771
OB_000120	10875265
OB_001210	17187771
OB_001211	17187771
OB_001212	17187771
OB_001213	17187771
OB_001214	17187771
OB_001215	17187771
OB_001216	15998808
OB_001217	17187771
OB_001218	17187771
OB_001219	17187771
OB_000121	17129213
OB_001220	17187771
OB_001221	17187771
OB_001222	19801973
OB_001223	19801973
OB_001224	15998808
OB_001225	19801973
OB_001226	19801973
OB_001227	19801973
OB_001228	19801973
OB_001229	19801973
OB_000122	17129213
OB_001230	19801973
OB_001231	15998808
OB_001232	19801973
OB_001233	17392428
OB_001234	17392428
OB_001235	17392428
OB_001236	17392428
OB_001237	17392428
OB_001238	17392428
OB_001239	17392428
OB_000123	17129213
OB_001240	15998808
OB_001241	17392428
OB_001242	17392428
OB_001243	17392428
OB_001244	17392428
OB_001245	17392428
OB_001246	17392428
OB_001247	17392428
OB_001248	17392428
OB_001249	17392428
OB_000124	17129213
OB_001250	17392428
OB_001251	15998808
OB_001252	17392428
OB_001253	17392428
OB_001254	17392428
OB_001255	17392428
OB_001256	17392428
OB_001257	17392428
OB_001258	17392428
OB_001259	17392428
OB_000125	17129213
OB_001260	17392428
OB_001261	17392428
OB_001262	15998808
OB_001263	17392428
OB_001264	17392428
OB_001265	17392428
OB_001266	17392428
OB_001267	17392428
OB_001268	17392428
OB_001269	17392428
OB_000126	17129213
OB_001270	17392428
OB_001271	17392428
OB_001272	17392428
OB_001273	15998808
OB_001274	9275199
OB_001275	17392428
OB_001276	17392428
OB_001277	17392428
OB_001278	17392428
OB_001279	17392428
OB_000127	8454632
OB_001280	17392428
OB_001281	17392428
OB_001282	17392428
OB_001283	17392428
OB_001284	17392428
OB_001285	15998808
OB_001286	17392428
OB_001287	17392428
OB_001288	17392428
OB_001289	17392428
OB_000128	17129213
OB_001290	17392428
OB_001291	17392428
OB_001292	17392428
OB_001293	17392428
OB_001294	17392428
OB_001295	17392428
OB_001296	15998808
OB_001297	17392428
OB_001298	17392428
OB_001299	17392428
OB_000129	17129213
OB_000012	19372390
OB_001300	17392428
OB_001301	17392428
OB_001302	17392428
OB_001303	17392428
OB_001304	17392428
OB_001305	17392428
OB_001306	17392428
OB_001307	15998808
OB_001308	17392428
OB_001309	17392428
OB_000130	17129213
OB_001310	17392428
OB_001311	17392428
OB_001312	17392428
OB_001313	17392428
OB_001314	17392428
OB_001315	17392428
OB_001316	17392428
OB_001317	17392428
OB_001318	15998808
OB_001319	17392428
OB_000131	17129213
OB_001320	17392428
OB_001321	17392428
OB_001322	17392428
OB_001323	17392428
OB_001324	17392428
OB_001325	17392428
OB_001326	17392428
OB_001327	17392428
OB_001328	17392428
OB_001329	15998808
OB_000132	17129213
OB_001330	17392428
OB_001331	17392428
OB_001332	17392428
OB_001333	17392428
OB_001334	17392428
OB_001335	17392428
OB_001336	17392428
OB_001337	17392428
OB_001338	17392428
OB_001339	17392428
OB_000133	17129213
OB_001340	15998808
OB_001341	17392428
OB_001342	17392428
OB_001343	20657825
OB_001344	20657825
OB_001345	20657825
OB_001346	20657825
OB_001347	20657825
OB_001348	20657825
OB_001349	20657825
OB_000134	17129213
OB_001350	20657825
OB_001351	15998808
OB_001352	20657825
OB_001353	20657825
OB_001354	20657825
OB_001355	20657825
OB_001356	20657825
OB_001357	20657825
OB_001358	20657825
OB_001359	15998808
OB_000135	17129213
OB_001360	20657825
OB_001361	20657825
OB_001362	17392428
OB_001363	17392428
OB_001364	17392428
OB_001365	17392428
OB_001366	17392428
OB_001367	17392428
OB_001368	17392428
OB_001369	17392428
OB_000136	11959102
OB_001370	15998808
OB_001371	17392428
OB_001372	17392428
OB_001373	17392428
OB_001374	17392428
OB_001375	17392428
OB_001376	17392428
OB_001377	17392428
OB_001378	17392428
OB_001379	17392428
OB_000137	17129213
OB_001380	17392428
OB_001381	15998808
OB_001382	10512855
OB_001383	17392428
OB_001384	17392428
OB_001385	17392428
OB_001386	17392428
OB_001387	17392428
OB_001388	17392428
OB_001389	17392428
OB_000138	17129213
OB_001390	17392428
OB_001391	17392428
OB_001392	17392428
OB_001393	15998808
OB_001394	17392428
OB_001395	17392428
OB_001396	17392428
OB_001397	17392428
OB_001398	17392428
OB_001399	17392428
OB_000139	17129213
OB_000013	19372390
OB_001400	17392428
OB_001401	17392428
OB_001402	17392428
OB_001403	17392428
OB_001404	15998808
OB_001405	17392428
OB_001406	17392428
OB_001407	17392428
OB_001408	17392428
OB_001409	17392428
OB_000140	17129213
OB_001410	17392428
OB_001411	17392428
OB_001412	17392428
OB_001413	17392428
OB_001414	17392428
OB_001415	15998808
OB_001416	17392428
OB_001417	17392428
OB_001418	17392428
OB_001419	17392428
OB_000141	17129213
OB_001420	17392428
OB_001421	17392428
OB_001422	17392428
OB_001423	17392428
OB_001424	17392428
OB_001425	17392428
OB_001426	15998808
OB_001427	17392428
OB_001428	17392428
OB_001429	17392428
OB_000142	17129213
OB_001430	17392428
OB_001431	17392428
OB_001432	17392428
OB_001433	17392428
OB_001434	17392428
OB_001435	17392428
OB_001436	17392428
OB_001437	15998808
OB_001438	17392428
OB_001439	17392428
OB_000143	17129213
OB_001440	17392428
OB_001441	17392428
OB_001442	17392428
OB_001443	20732954
OB_001444	20732954
OB_001445	20732954
OB_001446	20732954
OB_001447	20732954
OB_001448	15998808
OB_001449	20732954
OB_000144	17129213
OB_001450	20732954
OB_001451	20732954
OB_001452	20732954
OB_001453	20732954
OB_001454	20732954
OB_001455	20732954
OB_001456	20732954
OB_001457	15178135
OB_001458	15178135
OB_001459	15998808
OB_000145	17129213
OB_001460	15178135
OB_001461	15178135
OB_001462	15998808
OB_001463	20477758
OB_001464	20477758
OB_001465	20477758
OB_001466	20477758
OB_001467	20477758
OB_001468	20477758
OB_001469	15998808
OB_000146	17129213
OB_001470	20477758
OB_001471	20477758
OB_001472	20477758
OB_001473	20477758
OB_001474	20477758
OB_001475	20477758
OB_001476	20477758
OB_001477	20477758
OB_001478	15998808
OB_001479	10224252
OB_000147	8638122
OB_001480	20477758
OB_001481	20477758
OB_001482	20477758
OB_001483	15998808
OB_001484	15998808
OB_001485	15998808
OB_001486	20844315
OB_001487	20844315
OB_001488	20844315
OB_001489	20844315
OB_000148	17129213
OB_001490	20844315
OB_001491	20844315
OB_001492	20844315
OB_001493	15998808
OB_001494	20844315
OB_001495	20844315
OB_001496	20844315
OB_001497	20844315
OB_001498	20844315
OB_001499	20844315
OB_000149	17129213
OB_000014	19372390
OB_001500	20844315
OB_001501	14668486
OB_001502	14668486
OB_001503	14668486
OB_001504	15998808
OB_001505	14668486
OB_001506	14668486
OB_001507	14668486
OB_001508	14668486
OB_001509	14668486
OB_000150	17129213
OB_001510	14668486
OB_001511	14668486
OB_001512	14668486
OB_001513	14668486
OB_001514	14668486
OB_001515	15998808
OB_001516	14668486
OB_001517	14668486
OB_001518	14668486
OB_001519	14668486
OB_000151	17129213
OB_001520	17266679
OB_001521	17266679
OB_001522	17266679
OB_001523	17266679
OB_001524	17266679
OB_001525	17266679
OB_001526	15998808
OB_001527	17266679
OB_001528	17266679
OB_001529	17266679
OB_000152	17129213
OB_001530	17266679
OB_001531	17266679
OB_001532	17266679
