species	biosystem_ncbi_gene_id	gene_symbol	gene_description	type_of_gene
Podospora anserina	802411	nad3	NADH dehydrogenase subunit 3	protein-coding
Podospora anserina	802423	nad4	NADH dehydrogenase subunit 4	protein-coding
Podospora anserina	802429	nad4L	NADH dehydrogenase subunit 4L	protein-coding
Podospora anserina	802433	cox3	cytochrome c oxidase subunit 3	protein-coding
Podospora anserina	802446	nad5	NADH dehydrogenase subunit 5	protein-coding
Podospora anserina	802461	cob	apocytochrome b	protein-coding
Podospora anserina	802467	cox2	cytochrome c oxidase subunit 2	protein-coding
Podospora anserina	802471	atp6	ATP synthase F0 subunit 6	protein-coding
Podospora anserina	802475	nad6	NADH dehydrogenase subunit 6	protein-coding
Podospora anserina	802484	nad2	NADH dehydrogenase subunit 2	protein-coding
Podospora anserina	802490	nad1	NADH dehydrogenase subunit 1	protein-coding
Podospora anserina	802492	atp8	ATP synthase F0 subunit 8	protein-coding
Caenorhabditis elegans	171594	pgs-1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	protein-coding
Caenorhabditis elegans	171601	rab-11.1	RAB family	protein-coding
Caenorhabditis elegans	171619	C53D5.5	hypothetical protein	protein-coding
Caenorhabditis elegans	171630	taf-4	TAF (TBP-associated transcription factor) family	protein-coding
Caenorhabditis elegans	171643	acs-13	fatty Acid CoA Synthetase family	protein-coding
Caenorhabditis elegans	171677	mig-1	hypothetical protein	protein-coding
Caenorhabditis elegans	171694	haf-6	HAlF transporter (PGP related)	protein-coding
Caenorhabditis elegans	171696	smg-2	Regulator of nonsense transcripts 1	protein-coding
Caenorhabditis elegans	171710	mrpl-15	Mitochondrial Ribosomal Protein, Large	protein-coding
Caenorhabditis elegans	171714	acs-16	fatty Acid CoA Synthetase family	protein-coding
Caenorhabditis elegans	171719	Y92H12A.2	E3 ubiquitin-protein ligase	protein-coding
Caenorhabditis elegans	171720	Y92H12A.t1	tRNA	tRNA
Caenorhabditis elegans	171722	src-1	Tyrosine protein-kinase src-1	protein-coding
Caenorhabditis elegans	171734	ubc-3	UBiquitin Conjugating enzyme	protein-coding
Caenorhabditis elegans	171738	Y71G12B.10	hypothetical protein	protein-coding
Caenorhabditis elegans	171749	C53H9.2	hypothetical protein	protein-coding
Caenorhabditis elegans	171750	rpl-27	60S ribosomal protein L27	protein-coding
Caenorhabditis elegans	171763	rpb-10	DNA-directed RNA polymerases I, II, and III subunit RPABC5	protein-coding
Caenorhabditis elegans	171767	Y37E3.8	hypothetical protein	protein-coding
