entry_stable_id	entry_name	species	ncbi_gene_id	observation_stable_id	homologene_id	base_entry_stable_ids
AF_010000	AP1M1	Gallus gallus	420149	OB_008232	4017	AF_003181
AF_010001	MGG_10633	Magnaporthe oryzae	2682245	OB_008232	4017	AF_003181
AF_010002	KLLA0D14311g	Kluyveromyces lactis	2892829	OB_008232	4017	AF_003181
AF_010003	POU1F1	Gallus gallus	374215	OB_008233	259	AF_000402
AF_010004	POU1F1	Canis lupus familiaris	403753	OB_008233	259	AF_000402
AF_010005	POU1F1	Pan troglodytes	470861	OB_008233	259	AF_000402
AF_010006	POU1F1	Bos taurus	282315	OB_008233	259	AF_000402
AF_010007	POU1F1	Macaca mulatta	719349	OB_008233	259	AF_000402
AF_010008	AGOS_AFR427W	Eremothecium gossypii	4622247	OB_008234	39499	AF_002957
AF_010009	KLLA0B14102g	Kluyveromyces lactis	2897038	OB_008234	39499	AF_002957
AF_010010	POLR3C	Bos taurus	507314	OB_008235	38185	AF_004523
AF_010011	AgaP_AGAP002394	Anopheles gambiae	1273568	OB_008235	38185	AF_004523
AF_010012	Os01g0679000	Oryza sativa	4325277	OB_008235	38185	AF_004523
AF_010013	POLR3C	Canis lupus familiaris	483159	OB_008235	38185	AF_004523
AF_010014	POLR3C	Pan troglodytes	457224	OB_008235	38185	AF_004523
AF_010015	LOC696943	Macaca mulatta	696943	OB_008235	38185	AF_004523
AF_010016	POLR3C	Homo sapiens	10623	OB_008235	38185	AF_004523
AF_001001	YPT6	Saccharomyces cerevisiae	850966	OB_008555	39749	AF_001001
AF_010023	SPCC4F11.04c	Schizosaccharomyces pombe	2538722	OB_008237	104067	AF_004028
AF_010024	SPAC17G8.11c	Schizosaccharomyces pombe	2542292	OB_008237	104067	AF_004028
AF_010025	CSH1	Saccharomyces cerevisiae	852458	OB_008237	104067	AF_004028
AF_010026	MGG_03694	Magnaporthe oryzae	2676971	OB_008238	2794	AF_003170||AF_007005
AF_010027	BECN1	Macaca mulatta	711649	OB_008238	2794	AF_003170||AF_007005
AF_010028	Os01g0681400	Oryza sativa	4324394	OB_008238	2794	AF_003170||AF_007005
AF_010029	BECN1	Canis lupus familiaris	480513	OB_008238	2794	AF_003170||AF_007005
AF_010030	KLLA0F01166g	Kluyveromyces lactis	2895863	OB_008238	2794	AF_003170||AF_007005
AF_010031	Os03g0644000	Oryza sativa	4333557	OB_008238	2794	AF_003170||AF_007005
AF_010032	NCU03122	Neurospora crassa	3881139	OB_008238	2794	AF_003170||AF_007005
AF_010033	BECN1	Pan troglodytes	454700	OB_008238	2794	AF_003170||AF_007005
AF_010034	BECN1	Gallus gallus	420018	OB_008238	2794	AF_003170||AF_007005
AF_010035	Os03g0258500	Oryza sativa	9271973	OB_008238	2794	AF_003170||AF_007005
AF_010036	BECN1	Bos taurus	527278	OB_008238	2794	AF_003170||AF_007005
AF_010037	AgaP_AGAP003858	Anopheles gambiae	1271595	OB_008238	2794	AF_003170||AF_007005
AF_010038	AGOS_ACR154W	Eremothecium gossypii	4619688	OB_008238	2794	AF_003170||AF_007005
AF_010039	KLLA0C17248g	Kluyveromyces lactis	2892100	OB_008239	130600	AF_000972
AF_010040	AGOS_ADL035C	Eremothecium gossypii	4620210	OB_008239	130600	AF_000972
AF_010041	Os04g0271000	Oryza sativa	4335342	OB_008240	6924	AF_001357||AF_007717
AF_010042	SIRT6	Gallus gallus	428332	OB_008240	6924	AF_001357||AF_007717
AF_010043	NCU07624	Neurospora crassa	3878947	OB_008240	6924	AF_001357||AF_007717
AF_010044	SIRT6	Macaca mulatta	714545	OB_008240	6924	AF_001357||AF_007717
AF_010045	SIRT6	Canis lupus familiaris	485045	OB_008240	6924	AF_001357||AF_007717
AF_010046	SIRT6	Bos taurus	535416	OB_008240	6924	AF_001357||AF_007717
AF_010047	SIRT6	Pan troglodytes	737026	OB_008240	6924	AF_001357||AF_007717
AF_010048	AgaP_AGAP001458	Anopheles gambiae	1281717	OB_008240	6924	AF_001357||AF_007717
AF_010049	AgaP_AGAP006642	Anopheles gambiae	1277225	OB_008241	35113	AF_007308
AF_010050	AGOS_AGL036C	Eremothecium gossypii	4622929	OB_008242	6426	AF_000659
AF_010051	NCU00104	Neurospora crassa	3873391	OB_008242	6426	AF_000659
AF_010052	Os05g0519700	Oryza sativa	4339343	OB_008242	6426	AF_000659
AF_010053	KLLA0F18194g	Kluyveromyces lactis	2895592	OB_008242	6426	AF_000659
AF_010054	MGG_06459	Magnaporthe oryzae	2684614	OB_008242	6426	AF_000659
AF_010055	RPS18C	Arabidopsis thaliana	826569	OB_008243	88764	AF_008718||AF_008722
AF_010056	AGOS_AER315C	Eremothecium gossypii	4621384	OB_008243	88764	AF_008718||AF_008722
AF_010057	MGG_05661	Magnaporthe oryzae	2676017	OB_008243	88764	AF_008718||AF_008722
AF_010058	KLLA0B01562g	Kluyveromyces lactis	2897028	OB_008243	88764	AF_008718||AF_008722
AF_010059	PFL	Arabidopsis thaliana	838884	OB_008243	88764	AF_008718||AF_008722
AF_001005	SIC1	Saccharomyces cerevisiae	850768	OB_009486	48889	AF_001005
AF_010060	RPS18	Macaca mulatta	713939	OB_008243	88764	AF_008718||AF_008722
AF_010061	LOC100360679	Rattus norvegicus	100360679	OB_008243	88764	AF_008718||AF_008722
AF_010062	Os07g0173700	Oryza sativa	4342526	OB_008243	88764	AF_008718||AF_008722
AF_010063	AT1G34030	Arabidopsis thaliana	840300	OB_008243	88764	AF_008718||AF_008722
AF_010064	rps1801	Schizosaccharomyces pombe	2540180	OB_008243	88764	AF_008718||AF_008722
AF_010065	AgaP_AGAP010375	Anopheles gambiae	1272669	OB_008243	88764	AF_008718||AF_008722
AF_010066	Os03g0794700	Oryza sativa	4334407	OB_008243	88764	AF_008718||AF_008722
AF_010067	RPS18	Canis lupus familiaris	403685	OB_008243	88764	AF_008718||AF_008722
AF_010068	rps1802	Schizosaccharomyces pombe	3361064	OB_008243	88764	AF_008718||AF_008722
AF_010069	RPS18	Pan troglodytes	746775	OB_008243	88764	AF_008718||AF_008722
AF_001006	SWI6	Saccharomyces cerevisiae	850879	OB_009503	117873	AF_001006
AF_010070	NCU00475	Neurospora crassa	3872941	OB_008243	88764	AF_008718||AF_008722
AF_010071	Rps18	Rattus norvegicus	294282	OB_008243	88764	AF_008718||AF_008722
AF_010072	LOC462608	Pan troglodytes	462608	OB_008243	88764	AF_008718||AF_008722
AF_010073	RPS18	Bos taurus	326602	OB_008243	88764	AF_008718||AF_008722
AF_010074	KLLA0D16456g	Kluyveromyces lactis	2892945	OB_008244	39698	AF_002313
AF_010075	ACE2	Saccharomyces cerevisiae	850822	OB_008244	39698	AF_002313
AF_010076	AGOS_AGL197W	Eremothecium gossypii	4622763	OB_008244	39698	AF_002313
AF_010077	PEX16	Gallus gallus	423201	OB_008245	3537	AF_007639
AF_010078	Pex16	Mus musculus	18633	OB_008245	3537	AF_007639
AF_010079	PEX16	Macaca mulatta	714904	OB_008245	3537	AF_007639
AF_001007	TAL1	Saccharomyces cerevisiae	851068	OB_009500	4916	AF_001007
AF_010080	PEX16	Bos taurus	510447	OB_008245	3537	AF_007639
AF_010081	AgaP_AGAP002283	Anopheles gambiae	1269276	OB_008245	3537	AF_007639
AF_010082	PEX16	Canis lupus familiaris	483639	OB_008245	3537	AF_007639
AF_010083	PEX16	Pan troglodytes	451150	OB_008245	3537	AF_007639
AF_010084	Pex16	Rattus norvegicus	311203	OB_008245	3537	AF_007639
