entry_stable_id	entry_type	entry_name	species	ncbi_gene_id	lifespan_data_available
AF_010000	gene	AP1M1	Gallus gallus	420149	false
AF_010001	gene	MGG_10633	Magnaporthe oryzae	2682245	false
AF_010002	gene	KLLA0D14311g	Kluyveromyces lactis	2892829	false
AF_010003	gene	POU1F1	Gallus gallus	374215	false
AF_010004	gene	POU1F1	Canis lupus familiaris	403753	false
AF_010005	gene	POU1F1	Pan troglodytes	470861	false
AF_010006	gene	POU1F1	Bos taurus	282315	false
AF_010007	gene	POU1F1	Macaca mulatta	719349	false
AF_010008	gene	AGOS_AFR427W	Eremothecium gossypii	4622247	false
AF_010009	gene	KLLA0B14102g	Kluyveromyces lactis	2897038	false
AF_001000	gene	RPS25B	Saccharomyces cerevisiae	851045	true
AF_010010	gene	POLR3C	Bos taurus	507314	false
AF_010011	gene	AgaP_AGAP002394	Anopheles gambiae	1273568	false
AF_010012	gene	Os01g0679000	Oryza sativa	4325277	false
AF_010013	gene	POLR3C	Canis lupus familiaris	483159	false
AF_010014	gene	POLR3C	Pan troglodytes	457224	false
AF_010015	gene	LOC696943	Macaca mulatta	696943	false
AF_010016	gene	POLR3C	Homo sapiens	10623	false
AF_001001	gene	YPT6	Saccharomyces cerevisiae	850966	true
AF_010023	gene	SPCC4F11.04c	Schizosaccharomyces pombe	2538722	false
AF_010024	gene	SPAC17G8.11c	Schizosaccharomyces pombe	2542292	false
AF_010025	gene	CSH1	Saccharomyces cerevisiae	852458	false
AF_010026	gene	MGG_03694	Magnaporthe oryzae	2676971	false
AF_010027	gene	BECN1	Macaca mulatta	711649	false
AF_010028	gene	Os01g0681400	Oryza sativa	4324394	false
AF_010029	gene	BECN1	Canis lupus familiaris	480513	false
AF_010030	gene	KLLA0F01166g	Kluyveromyces lactis	2895863	false
AF_010031	gene	Os03g0644000	Oryza sativa	4333557	false
AF_010032	gene	NCU03122	Neurospora crassa	3881139	false
AF_010033	gene	BECN1	Pan troglodytes	454700	false
AF_010034	gene	BECN1	Gallus gallus	420018	false
AF_010035	gene	Os03g0258500	Oryza sativa	9271973	false
AF_010036	gene	BECN1	Bos taurus	527278	false
AF_010037	gene	AgaP_AGAP003858	Anopheles gambiae	1271595	false
AF_010038	gene	AGOS_ACR154W	Eremothecium gossypii	4619688	false
AF_010039	gene	KLLA0C17248g	Kluyveromyces lactis	2892100	false
AF_001003	gene	RPS28B	Saccharomyces cerevisiae	850969	true
AF_010040	gene	AGOS_ADL035C	Eremothecium gossypii	4620210	false
AF_010041	gene	Os04g0271000	Oryza sativa	4335342	false
AF_010042	gene	SIRT6	Gallus gallus	428332	false
AF_010043	gene	NCU07624	Neurospora crassa	3878947	false
AF_010044	gene	SIRT6	Macaca mulatta	714545	false
AF_010045	gene	SIRT6	Canis lupus familiaris	485045	false
AF_010046	gene	SIRT6	Bos taurus	535416	false
AF_010047	gene	SIRT6	Pan troglodytes	737026	false
AF_010048	gene	AgaP_AGAP001458	Anopheles gambiae	1281717	false
AF_010049	gene	AgaP_AGAP006642	Anopheles gambiae	1277225	false
AF_010050	gene	AGOS_AGL036C	Eremothecium gossypii	4622929	false
AF_010051	gene	NCU00104	Neurospora crassa	3873391	false
AF_010052	gene	Os05g0519700	Oryza sativa	4339343	false
AF_010053	gene	KLLA0F18194g	Kluyveromyces lactis	2895592	false
AF_010054	gene	MGG_06459	Magnaporthe oryzae	2684614	false
AF_010055	gene	RPS18C	Arabidopsis thaliana	826569	false
AF_010056	gene	AGOS_AER315C	Eremothecium gossypii	4621384	false
AF_010057	gene	MGG_05661	Magnaporthe oryzae	2676017	false
AF_010058	gene	KLLA0B01562g	Kluyveromyces lactis	2897028	false
AF_010059	gene	PFL	Arabidopsis thaliana	838884	false
